id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401309612,Georgia State,16,Appalachian State,45,Bovada,54.0,10.0,Appalachian State -10.0,9.5,56.0,300,-395
401309612,Georgia State,16,Appalachian State,45,William Hill (New Jersey),54.5,10,Appalachian State -10,,,,
401309612,Georgia State,16,Appalachian State,45,consensus,54.5,10,Appalachian State -10,,,,
401309612,Georgia State,16,Appalachian State,45,teamrankings,54.5,10.5,Appalachian State -10.5,,,,
401282143,Tennessee,60,South Alabama,14,Bovada,62.0,-28.0,Tennessee -28.0,-27.5,64.0,-5000,1275
401282143,Tennessee,60,South Alabama,14,William Hill (New Jersey),61,-28,Tennessee -28,,,,
401282143,Tennessee,60,South Alabama,14,consensus,61.5,-28.5,Tennessee -28.5,,,,
401282143,Tennessee,60,South Alabama,14,teamrankings,61.5,-28.5,Tennessee -28.5,,,,
401310756,Wyoming,14,Hawai'i,38,Bovada,48.0,-11.5,Wyoming -11.5,-10.0,47.5,-415,310
401310756,Wyoming,14,Hawai'i,38,William Hill (New Jersey),48.5,-13,Wyoming -13,,,,
401310756,Wyoming,14,Hawai'i,38,consensus,48.5,-13,Wyoming -13,,,,
401310756,Wyoming,14,Hawai'i,38,teamrankings,48.5,-13,Wyoming -13,,,,
401282686,Georgia Tech,30,Boston College,41,Bovada,55.0,-1.0,Georgia Tech -1.0,-2.0,52.0,-115,-105
401282686,Georgia Tech,30,Boston College,41,William Hill (New Jersey),55,2,Boston College -2,,,,
401282686,Georgia Tech,30,Boston College,41,consensus,55.5,1.5,Boston College -1.5,,,,
401282686,Georgia Tech,30,Boston College,41,teamrankings,55,2,Boston College -2,,,,
401282696,North Carolina,34,Wofford,14,Bovada,62.0,-37.0,North Carolina -37.0,-37.0,64.0,,
401282696,North Carolina,34,Wofford,14,William Hill (New Jersey),62,-37,North Carolina -37,,,,
401282696,North Carolina,34,Wofford,14,consensus,62,-37,North Carolina -37,,,,
401282136,Georgia,56,Charleston Southern,7,Bovada,59.0,-53.0,Georgia -53.0,-51.0,58.5,,
401282136,Georgia,56,Charleston Southern,7,William Hill (New Jersey),58.5,-52,Georgia -52,,,,
401282136,Georgia,56,Charleston Southern,7,consensus,59.5,-52.5,Georgia -52.5,,,,
401286192,Connecticut,21,Yale,15,Bovada,46.5,3.5,Yale -3.5,3.0,46.5,140,-165
401286192,Connecticut,21,Yale,15,William Hill (New Jersey),46,4,Yale -4,,,,
